user_id,sex,age,city_id
0,2,19,0
1,1,0,1
2,2,24,2
3,1,20,3
4,2,29,4
5,2,22,5
6,1,21,6
7,2,18,0
8,2,28,3
9,1,15,7
10,1,0,0
11,1,19,3
12,2,26,8
13,2,18,0
14,1,16,0
15,2,44,9
16,2,40,0
17,1,19,0
18,2,28,0
19,2,19,10
20,2,17,0
21,2,20,0
22,1,33,11
23,1,30,12
24,1,44,13
25,1,15,0
26,2,29,3
27,1,0,3
28,1,34,7
29,2,35,14
30,1,44,15
31,1,14,0
32,1,31,16
33,1,0,0
34,2,18,7
35,1,35,0
36,2,0,0
37,1,0,0
38,2,0,13
39,1,19,0
40,1,38,17
41,1,14,0
42,1,14,0
43,2,44,0
44,2,33,8
45,1,33,18
46,2,20,19
47,1,37,0
48,2,16,0
49,1,57,20
50,1,41,21
51,1,29,7
52,1,50,18
53,1,46,13
54,2,31,22
55,1,22,0
56,1,30,23
57,2,29,24
58,1,36,25
59,1,20,3
60,2,31,26
61,1,52,27
62,2,17,0
63,1,37,0
64,2,21,0
65,2,19,0
66,2,48,0
67,2,111,0
68,2,18,28
69,2,19,0
70,2,39,29
71,1,19,19
72,1,21,4
73,2,60,30
74,1,23,31
75,1,24,32
76,1,16,33
77,2,29,3
78,2,44,34
79,1,32,35
80,2,100,36
81,2,37,37
82,2,23,0
83,2,30,3
84,2,16,17
85,1,26,0
86,2,14,0
87,1,19,38
88,1,17,0
89,1,17,0
90,2,25,3
91,1,14,0
92,2,46,39
93,1,25,25
94,1,35,40
95,1,15,0
96,1,47,0
97,1,33,41
98,1,15,0
99,2,19,0
100,2,15,0
101,2,25,13
102,1,40,42
103,1,25,43
104,2,36,44
105,1,47,45
106,1,17,46
107,1,22,0
108,2,31,0
109,2,36,0
110,2,24,47
111,1,27,48
112,2,38,49
113,2,35,0
114,2,18,50
115,2,16,0
116,1,14,51
117,2,31,52
118,1,28,0
119,2,54,53
120,2,28,54
121,2,24,55
122,1,15,8
123,1,40,56
124,1,43,3
125,1,34,57
126,1,16,0
127,2,33,47
128,1,26,3
129,1,14,58
130,1,15,0
131,2,15,0
132,2,21,3
133,1,20,59
134,1,25,60
135,2,30,61
136,2,31,62
137,1,22,63
138,1,0,64
139,2,52,15
140,2,33,0
141,1,22,65
142,1,28,66
143,2,0,67
144,1,33,68
145,2,26,69
146,1,62,70
147,2,37,68
148,2,27,0
149,2,30,71
150,1,42,11
151,1,15,0
152,2,20,72
153,1,27,73
154,2,15,0
155,1,35,74
156,1,36,75
157,1,19,0
158,2,0,0
159,1,43,76
160,1,15,0
161,2,25,0
162,2,32,74
163,2,25,77
164,1,26,49
165,1,26,78
166,1,24,0
167,1,37,7
168,2,49,0
169,1,38,16
170,2,29,3
171,1,30,3
172,2,19,79
173,1,23,80
174,1,15,81
175,1,30,82
176,1,14,60
177,2,24,83
178,1,29,84
179,1,32,85
180,1,19,86
181,2,42,87
182,1,61,0
183,2,16,0
184,1,24,60
185,2,25,88
186,2,19,7
187,1,25,25
188,2,16,89
189,1,24,3
190,2,41,0
191,2,18,0
192,2,21,0
193,1,27,90
194,1,36,8
195,1,37,91
196,1,45,92
197,2,39,0
198,1,18,93
199,1,19,3
200,1,20,0
201,2,17,94
202,1,65,7
203,2,14,0
204,2,38,95
205,1,39,96
206,2,17,97
207,1,0,98
208,2,19,99
209,1,49,25
210,1,49,100
211,1,17,0
212,1,60,0
213,2,14,0
214,1,25,0
215,2,14,0
216,1,29,101
217,2,26,102
218,2,21,0
219,2,15,0
220,1,26,103
221,1,43,0
222,2,35,18
223,1,13,0
224,1,19,3
225,2,13,0
226,1,31,38
227,1,17,43
228,2,43,104
229,2,38,105
230,2,22,3
231,2,27,0
232,2,14,7
233,2,23,3
234,1,28,106
235,2,36,107
236,1,34,7
237,1,25,108
238,1,20,60
239,2,0,0
240,2,34,109
241,2,19,36
242,2,24,8
243,1,43,110
244,1,20,62
245,1,25,111
246,1,28,7
247,1,18,112
248,1,17,83
249,1,31,89
250,1,36,29
251,2,20,113
252,2,21,114
253,2,15,0
254,2,70,108
255,1,45,21
256,1,46,0
257,2,29,8
258,1,29,0
259,1,45,115
260,1,30,7
261,2,17,116
262,1,44,0
263,1,0,0
264,2,15,117
265,2,33,0
266,1,21,118
267,1,26,0
268,1,14,0
269,1,20,3
270,1,33,0
271,2,27,119
272,2,21,120
273,1,21,0
274,1,26,25
275,2,34,0
276,1,20,121
277,2,21,35
278,2,14,122
279,2,29,0
280,1,35,107
281,1,49,3
282,2,34,0
283,1,37,123
284,2,31,19
285,2,0,0
286,2,37,3
287,1,32,0
288,1,33,124
289,1,15,3
290,2,26,125
291,2,39,0
292,1,33,104
293,1,18,126
294,1,29,125
295,2,28,0
296,2,29,3
297,1,52,127
298,2,25,35
299,1,44,97
300,2,18,3
301,1,38,3
302,1,32,0
303,1,57,0
304,2,43,128
305,2,28,25
306,2,23,0
307,1,68,129
308,2,49,3
309,2,14,130
310,2,15,131
311,1,34,7
312,1,25,67
313,2,42,0
314,1,39,38
315,2,51,0
316,2,23,3
317,2,0,0
318,1,35,51
319,1,16,132
320,1,0,7
321,2,37,133
322,1,26,56
323,1,22,7
324,2,0,0
325,1,57,134
326,2,38,135
327,2,34,7
328,1,30,136
329,2,47,19
330,1,29,0
331,2,16,137
332,2,30,3
333,1,39,122
334,2,22,138
335,2,16,5
336,2,23,0
337,1,32,93
338,1,32,139
339,2,0,67
340,1,0,140
341,1,34,141
342,2,18,142
343,2,49,0
344,2,15,0
345,1,34,19
346,1,23,3
347,2,30,7
348,2,32,7
349,2,20,143
350,2,19,0
351,1,0,19
352,1,16,0
353,2,0,0
354,2,30,144
355,1,30,25
356,2,27,47
357,1,18,11
358,1,22,97
359,2,0,67
360,2,16,145
361,1,22,0
362,2,19,0
363,2,16,0
364,1,20,4
365,1,32,146
366,2,19,147
367,1,22,25
368,2,24,0
369,2,20,148
370,2,22,3
371,2,27,3
372,1,36,149
373,1,24,38
374,1,0,150
375,2,26,0
376,1,18,67
377,2,89,151
378,1,34,16
379,1,18,39
380,2,15,0
381,2,21,0
382,2,28,60
383,1,65,152
384,1,32,153
385,2,68,0
386,2,29,75
387,1,15,0
388,2,24,133
389,2,27,154
390,2,22,0
391,2,37,86
392,1,32,155
393,2,75,3
394,1,23,3
395,2,31,99
396,1,27,0
397,2,26,156
398,1,32,157
399,2,19,0
400,1,56,0
401,1,23,0
402,2,28,158
403,1,14,0
404,1,35,11
405,2,18,0
406,1,18,61
407,1,32,43
408,2,29,82
409,2,29,0
410,1,32,19
411,1,26,0
412,2,25,159
413,1,18,0
414,1,0,160
415,2,23,0
416,1,20,3
417,1,19,0
418,1,17,0
419,1,15,0
420,1,0,0
421,2,33,0
422,1,0,0
423,1,39,0
424,0,53,0
425,1,29,17
426,1,15,0
427,1,30,19
428,1,32,7
429,1,25,0
430,1,46,7
431,1,16,161
432,2,23,0
433,1,35,0
434,2,33,0
435,1,0,110
436,1,116,162
437,2,15,0
438,2,99,0
439,2,16,163
440,1,14,89
441,2,14,4
442,1,25,0
443,1,41,52
444,1,19,164
445,2,15,17
446,1,15,0
447,1,53,165
448,1,24,7
449,2,15,0
450,2,48,87
451,2,28,0
452,1,23,3
453,2,26,166
454,1,19,0
455,1,18,0
456,1,29,39
457,2,16,167
458,1,54,0
459,1,14,76
460,2,23,0
461,1,35,168
462,2,58,0
463,2,29,0
464,1,39,37
465,1,88,19
466,1,18,169
467,2,25,170
468,2,27,52
469,1,40,171
470,2,18,0
471,2,24,107
472,1,16,0
473,2,14,0
474,2,21,172
475,1,17,11
476,2,44,13
477,2,23,17
478,1,44,7
479,1,20,0
480,2,30,118
481,1,28,3
482,2,20,122
483,1,22,13
484,1,22,0
485,1,30,7
486,2,15,4
487,2,29,0
488,1,60,173
489,2,27,110
490,2,27,38
491,1,17,7
492,2,30,3
493,2,33,174
494,1,50,0
495,1,31,13
496,1,18,0
497,1,29,130
498,1,22,20
499,1,21,175
500,2,14,176
501,2,18,0
502,1,30,0
503,2,14,177
504,1,17,0
505,2,32,3
506,2,19,8
507,2,53,0
508,2,30,178
509,1,22,179
510,2,20,66
511,2,25,180
512,2,17,0
513,2,31,8
514,1,21,0
515,1,29,181
516,1,27,23
517,2,117,7
518,1,30,3
519,2,19,182
520,1,19,0
521,2,20,8
522,1,18,3
523,2,24,0
524,1,0,25
525,2,34,76
526,2,15,183
527,1,0,8
528,2,37,34
529,1,32,184
530,2,32,0
531,1,38,8
532,1,22,39
533,1,15,0
534,1,15,0
535,2,20,0
536,2,25,0
537,2,15,0
538,2,32,185
539,2,55,21
540,2,14,186
541,2,0,187
542,2,25,0
543,1,30,3
544,1,36,188
545,1,35,3
546,1,26,189
547,2,18,3
548,1,41,0
549,1,15,0
550,2,40,190
551,1,33,108
552,2,42,21
553,2,19,3
554,1,21,191
555,1,29,3
556,1,43,192
557,2,43,7
558,1,37,193
559,2,31,161
560,2,30,194
561,1,28,195
562,2,53,0
563,2,30,25
564,2,22,18
565,2,14,196
566,2,29,62
567,2,0,197
568,1,48,60
569,2,33,3
570,1,36,198
571,2,36,199
572,1,28,0
573,1,28,149
574,1,27,200
575,2,14,60
576,2,16,201
577,1,37,202
578,1,13,0
579,1,19,203
580,1,40,204
581,1,23,205
582,2,30,206
583,2,0,8
584,0,30,0
585,2,48,19
586,2,28,0
587,2,0,202
588,2,21,118
589,1,21,0
590,1,44,0
591,1,23,89
592,1,42,207
593,1,34,0
594,2,22,0
595,2,24,15
596,1,20,11
597,2,31,0
598,1,35,74
599,1,17,0
600,2,18,208
601,2,20,0
602,2,68,0
603,1,14,11
604,2,29,3
605,2,14,209
606,1,26,210
607,1,32,17
608,1,36,3
609,1,24,0
610,2,0,3
611,1,35,205
612,2,19,0
613,2,54,0
614,1,62,211
615,1,18,212
616,2,40,7
617,1,39,98
618,1,0,213
619,2,26,214
620,2,17,99
621,2,39,0
622,2,32,29
623,1,29,36
624,1,24,215
625,1,25,216
626,2,15,0
627,1,25,3
628,2,61,3
629,2,19,217
630,2,29,218
631,2,16,3
632,2,30,3
633,2,0,0
634,2,69,219
635,2,18,0
636,2,118,0
637,2,29,0
638,2,28,25
639,1,38,111
640,1,36,175
641,2,19,110
642,1,28,107
643,1,30,7
644,1,37,220
645,1,30,221
646,2,21,15
647,2,19,208
648,1,48,11
649,2,14,0
650,2,17,0
651,2,24,222
652,1,31,3
653,1,46,223
654,2,0,224
655,2,34,87
656,1,0,13
657,2,14,108
658,2,0,0
659,1,21,0
660,2,15,0
661,1,57,3
662,2,22,60
663,1,31,0
664,1,19,0
665,2,33,225
666,1,28,17
667,1,44,194
668,1,20,226
669,1,33,227
670,1,31,228
671,1,28,229
672,2,43,19
673,2,45,7
674,1,15,230
675,2,30,75
676,2,46,7
677,2,0,7
678,1,17,38
679,2,21,0
680,2,0,82
681,1,16,0
682,1,15,231
683,2,42,232
684,2,49,233
685,1,47,93
686,2,26,234
687,2,23,52
688,1,37,7
689,2,34,0
690,2,31,235
691,1,21,18
692,1,32,236
693,2,0,237
694,1,0,7
695,2,35,238
696,2,56,239
697,2,17,133
698,1,26,240
699,1,26,0
700,1,0,133
701,1,27,0
702,2,29,82
703,2,17,8
704,1,25,241
705,2,29,0
706,1,40,52
707,2,24,242
